source_id,source_title,source_url,issuing_body,document_type,topic_category,date_or_version,source_format,char_count,is_duplicate,low_confidence,missing,extraction_notes
src_001,Retirement Benefits By Year Of Birth,https://www.ssa.gov/benefits/retirement/planner/agereduction.html,Social Security Administration,eligibility_guidance,retirement_benefits,not_provided,html,0,False,True,True,not extracted (ingest/extract failed)
src_002,Disability Benefits Eligibility,https://www.ssa.gov/benefits/disability/qualify.html,Social Security Administration,eligibility_guidance,disability_benefits,not_provided,html,0,False,True,True,not extracted (ingest/extract failed)
src_003,Replace a Social Security Card,https://www.usa.gov/replace-social-security-card,USA.gov,service_instructions,identity_documents,not_provided,html,0,False,True,True,not extracted (ingest/extract failed)
src_004,Apply for Social Security Benefits,https://www.usa.gov/apply-social-security,USA.gov,service_instructions,retirement_benefits,not_provided,html,0,False,True,True,not extracted (ingest/extract failed)
src_005,Understanding Your CP2000 Notice,https://www.irs.gov/individuals/understanding-your-cp2000-notice,Internal Revenue Service,procedure_guidance,tax_compliance,not_provided,html,5132,False,False,False,"extracted via BeautifulSoup, main/article/body scope, boilerplate tags dropped"
src_006,Appeals That Follow Examinations,https://www.irs.gov/appeals/appeals-that-follow-examinations,Internal Revenue Service,appeal_process,tax_compliance,not_provided,html,0,False,True,True,not extracted (ingest/extract failed)
src_007,Unemployment Insurance Overview,https://www.dol.gov/agencies/eta/unemployment-insurance,Department of Labor,eligibility_guidance,unemployment_benefits,not_provided,html,0,False,True,True,not extracted (ingest/extract failed)
src_008,Family and Medical Leave Act,https://www.dol.gov/agencies/whd/fmla,Department of Labor,policy_excerpt,employee_leave,not_provided,html,11195,False,False,False,"extracted via BeautifulSoup, main/article/body scope, boilerplate tags dropped"
src_009,Adjustment of Status Process,https://www.uscis.gov/green-card/green-card-processes-and-procedures/adjustment-of-status,USCIS,procedure_guidance,immigration,not_provided,html,8061,False,False,False,"extracted via BeautifulSoup, main/article/body scope, boilerplate tags dropped"
src_010,How To Fill Out Your Adjustment Of Status Form,https://www.uscis.gov/forms/filing-guidance/how-to-fill-out-your-adjustment-of-status-form,USCIS,service_instructions,immigration,not_provided,html,0,False,True,True,not extracted (ingest/extract failed)
src_011,How to Apply for Marketplace Coverage,https://www.healthcare.gov/apply-and-enroll/how-to-apply/,HealthCare.gov,service_instructions,health_coverage,not_provided,html,0,False,True,True,not extracted (ingest/extract failed)
src_012,Reporting Income and Family Changes,https://www.healthcare.gov/reporting-income-and-family-changes/,HealthCare.gov,eligibility_guidance,health_coverage,not_provided,html,0,False,True,True,not extracted (ingest/extract failed)
src_013,How to Apply for VA Health Care,https://www.va.gov/health-care/how-to-apply/,Department of Veterans Affairs,service_instructions,veterans_benefits,not_provided,html,4540,False,False,False,"extracted via BeautifulSoup, main/article/body scope, boilerplate tags dropped"
src_014,Decision Reviews and Appeals,https://www.va.gov/decision-reviews/,Department of Veterans Affairs,appeal_process,veterans_benefits,not_provided,html,2564,False,False,False,"extracted via BeautifulSoup, main/article/body scope, boilerplate tags dropped"
src_015,Supplemental Nutrition Assistance Program (SNAP),https://www.benefits.gov/benefit/1507,Benefits.gov,eligibility_guidance,food_assistance,not_provided,html,3660,False,False,False,"extracted via BeautifulSoup, main/article/body scope, boilerplate tags dropped"
